"tract","Name","Household_Income_rP_gP_p75"
24005440702,"Rosedale, MD",49397
24005430900,"Baltimore, MD",49391
24005491401,"Parkville, MD",49294
24005430800,"Halethorpe, MD",49234
24510270102,"Waltherson, Baltimore, MD",49161
24005451803,"Middle River, MD",49123
24005420402,"Dundalk, MD",48996
24027606901,"Savage, Jessup, MD",48834
24005491402,"Parkville, MD",48800
24005441000,"Baltimore, MD",48770
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",48744
24510272004,"Cheswolde, Baltimore, MD",48738
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",48496
24005420800,"Dundalk, MD",48478
24510130806,"Woodberry, Baltimore, MD",48400
24005452000,"Sparrows Point, MD",48391
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",48360
24510272006,"Glen, Baltimore, MD",48298
24005450400,"Essex, MD",48264
24510020200,"Upper Fells Point, Baltimore, MD",48096
24510230200,"South Baltimore, Baltimore, MD",48086
24005400701,"Catonsville, MD",47991
24005420302,"Dundalk, MD",47687
24510260101,"Cedmont, Baltimore, MD",47580
24510010300,"Canton, Baltimore, MD",47556
24005452500,"Dundalk, MD",47415
24510272007,"Fallstaff, Baltimore, MD",47330
24005421102,"Dundalk, MD",47261
24003750900,"Glen Burnie, MD",47254
24005420100,"Dundalk, MD",47224
24510250206,"Morrell Park, Baltimore, MD",47222
24510272003,"Baltimore, MD",47180
24003730300,"Glen Burnie, MD",47013
24005401505,"Catonsville, MD",46925
24003730204,"Glen Burnie, MD",46896
24005451500,"Middle River, MD",46793
24510080101,"Belair - Edison, Baltimore, MD",46636
24510130803,"Medfield, Baltimore, MD",46554
24510140100,"Bolton Hill, Baltimore, MD",46499
24510270302,"Waltherson, Baltimore, MD",46487
24005492402,"Owings Mills, MD",46458
24005492102,"Parkville, MD",46394
24005451401,"Middle River, MD",46100
24003750803,"Glen Burnie, MD",46081
24005401506,"Windsor Mill, Baltimore, MD",46008
24005451402,"Middle River, MD",45941
24003751102,"Glen Burnie, MD",45616
24510270301,"Lauraville, Baltimore, MD",45465
24510130804,"Hampden, Baltimore, MD",45439
24510271101,"Radnor - Winston, Baltimore, MD",45438
24005403100,"Gwynn Oak, Pikesville, MD",45237
24005451100,"Essex, MD",45236
24003750203,"Baltimore, MD",45177
24005401301,"Woodlawn, MD",45021
24510260401,"Armistead Gardens, Baltimore, MD",44941
24027606707,"Columbia, MD",44834
24027601107,"Waterloo, Elkridge, MD",44587
24005401102,"Gwynn Oak, Woodlawn, MD",44543
24510260900,"Baltimore, MD",44428
24510250401,"Brooklyn, Baltimore, MD",44419
24005450800,"Essex, MD",44398
24510040100,"Downtown, Baltimore, MD",43966
24005492401,"Owings Mills, MD",43834
24005421101,"Baltimore, MD",43774
24510260700,"Fifteenth Street, Baltimore, MD",43763
24510230300,"South Baltimore, Baltimore, MD",43743
24510190300,"Mount Clare, Baltimore, MD",43713
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",43635
24005440300,"Nottingham, MD",43515
24510020100,"Upper Fells Point, Baltimore, MD",43336
24005402603,"Randallstown, MD",43323
24005450504,"Essex, MD",43305
24005402306,"Windsor Mill, Baltimore, MD",43043
24510280301,"Gwynn Oak, Baltimore, MD",43009
24005402506,"Randallstown, MD",42995
24510250402,"Brooklyn, Baltimore, MD",42989
24005401101,"Woodlawn, MD",42932
24510120300,"Harwood, Baltimore, MD",42784
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",42777
24510270401,"Glenham-Belford, Baltimore, MD",42655
24510130805,"Cold Springs, Baltimore, MD",42612
24005420301,"Dundalk, MD",42525
24005401302,"Gwynn Oak, Baltimore, MD",42455
24510170100,"Downtown, Baltimore, MD",42451
24510240300,"Riverside, Baltimore, MD",42211
24005402509,"Owings Mills, MD",42186
24005402504,"Randallstown, MD",42130
24003750102,"Baltimore, MD",42030
24003750101,"Brooklyn Park, MD",41958
24510250303,"Morrell Park, Baltimore, MD",41932
24005402604,"Randallstown, MD",41893
24005402503,"Randallstown, MD",41815
24510270903,"Hillen, Baltimore, MD",41702
24005401200,"Woodlawn, MD",41688
24005421300,"Dundalk, MD",41375
24005420401,"Dundalk, MD",41369
24510260201,"Frankford, Baltimore, MD",41301
24005402305,"Lochearn, Pikesville, MD",41109
24027601203,"Elkridge, MD",41108
24005402302,"Windsor Mill, Milford Mill, MD",40919
24005402602,"Randallstown, MD",40573
24510160300,"Sandtown-Winchester, Baltimore, MD",40492
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",40262
24005402403,"Gwynn Oak, Baltimore, MD",40164
24510030200,"Little Italy, Baltimore, MD",40120
24510150500,"Burleith-Leighton, Baltimore, MD",40066
24510260102,"Frankford, Baltimore, MD",40065
24510060300,"Butchers Hill, Baltimore, MD",40035
24510210200,"Pigtown, Baltimore, MD",39832
24005492300,"Essex, MD",39800
24005403201,"Gwynn Oak, Lochearn, MD",39700
24510271900,"Glen, Baltimore, MD",39695
24510070100,"Baltimore, MD",39479
24003730203,"Glen Burnie, MD",39361
24510250500,"Curtis Bay, Baltimore, MD",39360
24005450503,"Essex, MD",39326
24510180300,"Hollins Market, Baltimore, MD",39304
24510280302,"West Forest Park, Baltimore, MD",39230
24005401507,"Windsor Mill, Baltimore, MD",39217
24005421000,"Dundalk, MD",38843
24510250101,"Beechfield, Baltimore, MD",38769
24510260302,"Belair - Edison, Baltimore, MD",38719
24005402405,"Gwynn Oak, Baltimore, MD",38550
24510270802,"Ramblewood, Baltimore, MD",38491
24510250203,"Cherry Hill, Baltimore, MD",38398
24510280401,"Baltimore, MD",38359
24005402404,"Gwynn Oak, Lochearn, MD",38283
24510270801,"Idlewood, Baltimore, MD",38261
24510030100,"Perkins Homes, Baltimore, MD",38102
24510130400,"Woodbrook, Baltimore, MD",38089
24005403202,"Gwynn Oak, Baltimore, MD",37997
24510090400,"Better Waverly, Baltimore, MD",37970
24005452300,"Baltimore, MD",37860
24005402304,"Gwynn Oak, Baltimore, MD",37665
24510060200,"Baltimore, MD",37582
24510150702,"Walbrook, Baltimore, MD",37207
24510151100,"East Arlington, Baltimore, MD",37051
24510200600,"Baltimore, MD",37037
24510180200,"Poppleton, Baltimore, MD",37035
24005402407,"Windsor Mill, Milford Mill, MD",37025
24510150701,"Hanlon Longwood, Baltimore, MD",36924
24510150800,"Garwyn Oaks, Baltimore, MD",36867
24005402505,"Randallstown, MD",36738
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",36558
24510190200,"Pratt Monroe, Baltimore, MD",36558
24510270803,"Loch Raven, Baltimore, MD",36447
24510280402,"Rognel Heights, Baltimore, MD",36284
24510200701,"Allendale, Baltimore, MD",36083
24510080500,"Darley Park, Baltimore, MD",35975
24510250102,"Yale Heights, Baltimore, MD",35934
24510150400,"Mondawmin, Baltimore, MD",35805
24510270901,"New Northwood, Baltimore, MD",35740
24510250205,"Lakeland, Baltimore, MD",35409
24510270902,"Perring Loch, Baltimore, MD",35367
24510120700,"Remington, Baltimore, MD",35251
24510260402,"Frankford, Baltimore, MD",35228
24510260301,"Belair - Edison, Baltimore, MD",35184
24510250207,"Cherry Hill, Baltimore, MD",35143
24510040200,"Downtown, Baltimore, MD",34895
24510280200,"Gwynn Oak, Baltimore, MD",34838
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",34800
24510080400,"Broadway East, Baltimore, MD",34723
24005402307,"Pikesville, MD",34515
24510150200,"Sandtown-Winchester, Baltimore, MD",34483
24005402303,"Windsor Mill, Baltimore, MD",34469
24510260202,"Parkside, Baltimore, MD",34421
24510110100,"Downtown, Baltimore, MD",34336
24510270805,"Mid-Govans, Baltimore, MD",34189
24510060400,"Baltimore, MD",33959
24510200800,"Irvington, Baltimore, MD",33941
24510080102,"Belair - Edison, Baltimore, MD",33867
24510280102,"Gwynn Oak, Baltimore, MD",33795
24510090500,"Better Waverly, Baltimore, MD",33770
24510080700,"Broadway East, Baltimore, MD",33604
24510110200,"Downtown, Baltimore, MD",33574
24510271801,"Arlington, Baltimore, MD",33460
24005402406,"Windsor Mill, Milford Mill, MD",33271
24510250301,"Westport, Baltimore, MD",33256
24510271002,"Winston - Govans, Baltimore, MD",32884
24510280404,"Irvington, Baltimore, MD",32871
24510070200,"Madison - Eastend, Baltimore, MD",32699
24510150900,"Windsor Hills, Baltimore, MD",32588
24510230100,"Baltimore, MD",32526
24510260404,"Baltimore Highlands, Baltimore, MD",32320
24510130300,"Penn North, Baltimore, MD",32280
24510271700,"Central Park Heights, Baltimore, MD",32176
24510180100,"Poppleton, Baltimore, MD",32093
24510200500,"Mill Hill, Baltimore, MD",32038
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",31905
24510090900,"Oliver, Baltimore, MD",31902
24510080302,"Berea, Baltimore, MD",31792
24510160600,"Mosher, Baltimore, MD",31635
24510080301,"Berea, Baltimore, MD",31426
24510160700,"Rosemont, Baltimore, MD",31315
24510160200,"Sandtown-Winchester, Baltimore, MD",31243
24510190100,"Franklin Square, Baltimore, MD",30903
24510151200,"Park Circle, Baltimore, MD",30827
24510210100,"Pigtown, Baltimore, MD",30590
24510120600,"Old Goucher, Baltimore, MD",30559
24510200702,"Saint Joseph's, Baltimore, MD",30403
24510160400,"Midtown Edmondson, Baltimore, MD",30310
24510120400,"Barclay, Baltimore, MD",30261
24510130200,"Reservoir Hill, Baltimore, MD",30220
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",29955
24510170200,"McCulloh Homes, Baltimore, MD",29926
24510260203,"Frankford, Baltimore, MD",29912
24510160801,"Edmondson, Baltimore, MD",29723
24510200100,"Lexington, Baltimore, MD",29658
24510150600,"NW Community Action, Baltimore, MD",29522
24510271600,"Edgecomb, Baltimore, MD",29418
24510080600,"Broadway East, Baltimore, MD",29381
24510151000,"Dorchester, Baltimore, MD",28982
24510100200,"Baltimore, MD",28908
24510060100,"Patterson Park, Baltimore, MD",28838
24510150300,"Coppin Heights, Baltimore, MD",28615
24510160802,"Edmondson, Baltimore, MD",28587
24510260303,"Claremont - Freedom, Baltimore, MD",28534
24510090800,"East Baltimore Midway, Baltimore, MD",28370
24510260604,"O'Donnell Heights, Baltimore, MD",28300
24510100100,"Johnson Square, Baltimore, MD",28263
24510271802,"Langston Hughes, Baltimore, MD",28214
24510260403,"Cedonia, Baltimore, MD",28119
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",28070
24510280101,"Reisterstown Station, Baltimore, MD",28060
24510200300,"Bentalou-Smallwood, Baltimore, MD",27635
24510271001,"Baltimore, MD",27539
24510200400,"Shipley Hill, Baltimore, MD",27227
24510151300,"Central Park Heights, Baltimore, MD",27168
24510170300,"Upton, Baltimore, MD",27133
24510080200,"Broadway East, Baltimore, MD",27034
24510070300,"Milton - Montford, Baltimore, MD",27002
24510160100,"Harlem Park, Baltimore, MD",26589
24510250204,"Cherry Hill, Baltimore, MD",26541
24510080800,"Broadway East, Baltimore, MD",26454
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",26113
24510150100,"Sandtown-Winchester, Baltimore, MD",25835
24510070400,"Gay Street, Baltimore, MD",25788
24510120500,"Greenmount West, Baltimore, MD",23145
24510140300,"Druid Heights, Baltimore, MD",22776
24510200200,"Lexington, Baltimore, MD",22757
24510140200,"Upton, Baltimore, MD",22732
24510280500,"Pleasant View Gardens, Baltimore, MD",21659
24510130100,"Reservoir Hill, Baltimore, MD",17305
24005492500,"Baltimore, MD",
24005490605,"Towson, MD",
24510250600,"Brooklyn, Baltimore, MD",
24005980200,"Lansdowne - Baltimore Highlands, Halethorpe, MD",
24510100300,"Penn - Fallsway, Baltimore, MD",
24003980000,"Linthicum Heights, MD",
